X,Y,id,Area,Pacount,Order,MR,OB,JB,GB,AO,BB,GM
118927.9206,953601.4588,0,66265072.92,4,0,0,1,0,0,0,0,0
118927.9206,960431.8337,0,51098636.44,1,1,0,0,0,0,0,0,0
118927.9206,967262.2086,0,35190548.45,9,2,0,0,0,0,0,0,0
125758.2954,946771.0839,0,70508612.13,0,3,0,0,0,0,0,0,0
125758.2954,953601.4588,0,46654021.61,2,4,0,0,0,0,0,0,0
125758.2954,960431.8337,0,46654021.61,2,5,0,0,0,0,0,0,0
125758.2954,967262.2086,0,46654021.61,2,6,0,0,0,0,0,0,0
125758.2954,974092.5834,0,48661316.08,2,7,0,2,0,1,0,0,1
125758.2954,980922.9583,0,43634945.05,22,8,0,1,0,0,0,0,0
125758.2954,987753.3332,0,40676369.84,0,9,0,0,0,0,0,0,0
125758.2954,994583.7081,0,39550643.53,2,10,0,0,0,0,0,0,0
125758.2954,1001414.083,0,31888469.37,7,11,0,0,0,0,0,0,0
132588.6703,946771.0839,0,58816697.56,0,12,0,0,0,0,0,0,0
132588.6703,953601.4588,0,46654021.61,0,13,0,0,0,0,0,0,0
132588.6703,960431.8337,0,46654021.61,0,14,0,0,0,0,0,0,0
132588.6703,967262.2086,0,46654021.61,1,15,0,1,0,0,0,0,0
132588.6703,974092.5834,0,46654019.63,14,16,1,0,0,0,0,0,1
132588.6703,980922.9583,0,46654021.61,0,17,0,0,0,0,0,0,0
132588.6703,987753.3332,0,46654021.61,2,18,0,0,0,0,0,0,0
132588.6703,994583.7081,0,46654021.61,0,19,0,0,0,0,0,0,0
132588.6703,1001414.083,0,46654021.61,1,20,0,0,0,0,0,0,0
132588.6703,1008244.458,0,59740122.2,1,21,0,0,0,0,0,0,0
132588.6703,1015074.833,0,63971861.45,5,22,0,0,0,0,0,0,0
132588.6703,1021905.208,0,56674338.22,9,23,0,0,0,0,0,0,0
132588.6703,1028735.582,0,53202070.93,6,24,0,0,2,0,0,0,4
132588.6703,1035565.957,0,47709518.91,1,25,0,0,0,4,0,0,3
139419.0452,946771.0839,0,61408364.16,0,26,0,0,0,0,0,0,0
139419.0452,953601.4588,0,46654021.61,0,27,0,0,0,0,0,0,0
139419.0452,960431.8337,0,46654021.61,0,28,0,0,0,0,0,0,0
139419.0452,967262.2086,0,46654021.61,5,29,1,0,1,0,0,0,0
139419.0452,974092.5834,0,46654019.63,0,30,0,0,0,0,0,0,0
139419.0452,980922.9583,0,46654021.61,1,31,0,0,0,0,0,0,0
