X,Y,id,Area,Pacount,Order,MR,OB,JB,GB,AO,BB,GM,Gridall,GridT1,GridPA
123196.9049,947624.8808,0,2915876.351,0,62,0,0,0,0,0,0,0,0,0,0
123196.9049,949332.4745,0,2915876.351,0,63,0,0,0,0,0,0,0,0,0,0
123196.9049,951040.0682,0,2915876.351,1,64,0,0,0,0,0,0,0,1,0,1
123196.9049,952747.662,0,2915876.351,0,65,0,0,0,0,0,0,0,0,0,0
123196.9049,954455.2557,0,2915876.351,0,66,0,0,0,0,0,0,0,0,0,0
123196.9049,956162.8494,0,2915876.351,0,67,0,0,0,0,0,0,0,0,0,0
123196.9049,957870.4431,0,2915876.351,1,68,0,0,0,0,0,0,0,1,0,1
123196.9049,959578.0368,0,2915876.351,0,69,0,0,0,0,0,0,0,0,0,0
123196.9049,961285.6305,0,2915876.351,0,70,0,0,0,0,0,0,0,0,0,0
123196.9049,962993.2243,0,2915876.351,0,71,0,0,0,0,0,0,0,0,0,0
123196.9049,964700.818,0,2915876.351,0,72,0,0,0,0,0,0,0,0,0,0
123196.9049,966408.4117,0,2915876.351,0,73,0,0,0,0,0,0,0,0,0,0
123196.9049,968116.0054,0,2915876.351,0,74,0,0,0,0,0,0,0,0,0,0
123196.9049,969823.5991,0,2915876.351,1,75,0,0,0,0,0,0,0,1,0,1
123196.9049,971531.1929,0,2915876.351,0,76,0,0,0,0,0,0,0,0,0,0
123196.9049,973238.7866,0,1969161.989,1,77,0,0,0,0,0,0,0,1,0,1
123196.9049,974946.3803,0,3585491.984,0,78,0,2,0,1,0,0,1,1,1,0
123196.9049,976653.974,0,3813032.642,0,79,0,0,0,0,0,0,0,0,0,0
123196.9049,978361.5677,0,2915876.351,4,80,0,0,0,0,0,0,0,1,0,1
123196.9049,980069.1615,0,2680768.609,0,81,0,0,0,0,0,0,0,0,0,0
123196.9049,988607.13,0,2753128.007,0,82,0,0,0,0,0,0,0,0,0,0
123196.9049,990314.7238,0,2369730.599,0,83,0,0,0,0,0,0,0,0,0,0
123196.9049,992022.3175,0,1886548.197,0,84,0,0,0,0,0,0,0,0,0,0
123196.9049,993729.9112,0,1789696.941,0,85,0,0,0,0,0,0,0,0,0,0
124904.4986,942502.0996,0,2349023.304,0,86,0,0,0,0,0,0,0,0,0,0
